symbol,name,sector,market_cap
A,Agilent Technologies,Health Care,41226590866
AAPL,Apple Inc.,Information Technology,4572794419400
ABBV,AbbVie,Health Care,434781536801
ABNB,Airbnb,Consumer Discretionary,107323665639
ABT,Abbott Laboratories,Health Care,186552623142
ACGL,Arch Capital Group,Financials,33604244328
ACN,Accenture,Information Technology,117294894101
ADBE,Adobe Inc.,Information Technology,105420975000
ADI,Analog Devices,Information Technology,189929849507
ADM,Archer Daniels Midland,Consumer Staples,36913284462
ADP,Automatic Data Processing,Industrials,107785325803
ADSK,Autodesk,Information Technology,52555880000
AEE,Ameren,Utilities,30131619439
AEP,American Electric Power,Utilities,68447079067
AES,AES Corporation,Utilities,10508951020
AFL,Aflac,Financials,63424608887
AIG,American International Group,Financials,41769646090
AIZ,Assurant,Financials,14346518293
AJG,Arthur J. Gallagher & Co.,Financials,63593156000
AKAM,Akamai Technologies,Information Technology,16070907754
ALB,Albemarle Corporation,Materials,15471643023
ALGN,Align Technology,Health Care,12336780698
ALL,Allstate,Financials,67513072650
ALLE,Allegion,Industrials,14366114627
AMAT,Applied Materials,Information Technology,428055287090
AMCR,Amcor,Materials,22127864723
AMD,Advanced Micro Devices,Information Technology,789073136301
AME,Ametek,Industrials,58154407153
AMGN,Amgen,Health Care,222170019295
AMP,Ameriprise Financial,Financials,49621392426
AMT,American Tower,Real Estate,80396746682
AMZN,Amazon,Consumer Discretionary,2960627349243
ANET,Arista Networks,Information Technology,237955254338
AON,Aon plc,Financials,76004543002
AOS,A. O. Smith,Industrials,8695430501
APA,APA Corporation,Energy,13301084642
APD,Air Products,Materials,67571697223
APH,Amphenol,Information Technology,208596141255
APO,Apollo Global Management,Financials,73471391857
APP,AppLovin,Communication Services,116056966800
APTV,Aptiv,Consumer Discretionary,10288231551
ARE,Alexandria Real Estate Equities,Real Estate,8667074132
ARES,Ares Management,Financials,45139647618
ATO,Atmos Energy,Utilities,28760161835
AVB,AvalonBay Communities,Real Estate,26781757961
AVGO,Broadcom,Information Technology,2035102505496
AVY,Avery Dennison,Materials,13428143000
AWK,American Water Works,Utilities,26890019502
AXON,Axon Enterprise,Industrials,46024591988
AXP,American Express,Financials,230219875168
AZO,AutoZone,Consumer Discretionary,51054119438
BA,Boeing,Industrials,185278540088
BAC,Bank of America,Financials,441731914217
BALL,Ball Corporation,Materials,16795428002
BAX,Baxter International,Health Care,14243239772
BBY,Best Buy,Consumer Discretionary,17282904332
BDX,Becton Dickinson,Health Care,48732079919
BEN,Franklin Resources,Financials,17157757251
BF-B,Brown–Forman,Consumer Staples,0
BG,Bunge Global,Consumer Staples,20821870551
BIIB,Biogen,Health Care,30723966344
BKNG,Booking Holdings,Consumer Discretionary,161111006810
BKR,Baker Hughes,Energy,61099089070
BLDR,Builders FirstSource,Industrials,8036379373
BLK,BlackRock,Financials,176406352760
BMY,Bristol Myers Squibb,Health Care,132204492536
BNY,BNY Mellon,Financials,106939037821
BR,Broadridge Financial Solutions,Industrials,18984629367
BRK-B,Berkshire Hathaway,Financials,1151253273388
BRO,Brown & Brown,Financials,23901217801
BSX,Boston Scientific,Health Care,71461507927
BX,Blackstone Inc.,Financials,101871107934
BXP,"BXP, Inc.",Real Estate,11117168927
C,Citigroup,Financials,230252888925
CAH,Cardinal Health,Health Care,55366264122
CARR,Carrier Global,Industrials,52765046899
CASY,Casey's,Consumer Staples,30860248030
CAT,Caterpillar Inc.,Industrials,387133594767
CB,Chubb Limited,Financials,135149548606
CBOE,Cboe Global Markets,Financials,29927839744
CBRE,CBRE Group,Real Estate,42909267658
CCI,Crown Castle,Real Estate,32160176634
CCL,Carnival Corporation,Consumer Discretionary,39706127960
CDNS,Cadence Design Systems,Information Technology,93424321320
CDW,CDW Corporation,Information Technology,16978616625
CEG,Constellation Energy,Utilities,97481586103
CF,CF Industries,Materials,17567507482
CFG,Citizens Financial Group,Financials,30606917184
CHD,Church & Dwight,Consumer Staples,24488931359
CHRW,C.H. Robinson,Industrials,17451151126
CHTR,Charter Communications,Communication Services,18198166954
CI,Cigna,Health Care,74645294890
CIEN,Ciena,Information Technology,58375009504
CINF,Cincinnati Financial,Financials,27144127039
CL,Colgate-Palmolive,Consumer Staples,74352309761
CLX,Clorox,Consumer Staples,12714880058
CMCSA,Comcast,Communication Services,89993423491
CME,CME Group,Financials,94806668483
CMG,Chipotle Mexican Grill,Consumer Discretionary,41493056220
CMI,Cummins,Industrials,88691722395
CMS,CMS Energy,Utilities,22273383970
CNC,Centene Corporation,Health Care,32490051150
CNP,CenterPoint Energy,Utilities,26796741316
COF,Capital One,Financials,133592457887
COHR,Coherent Corp.,Information Technology,74172735771
COIN,Coinbase,Financials,40525351373
COO,Cooper Companies (The),Health Care,14477123665
COP,ConocoPhillips,Energy,143283558163
COR,Cencora,Health Care,61152473296
COST,Costco,Consumer Staples,420338080007
CPAY,Corpay,Financials,25683312452
CPRT,Copart,Industrials,27459568556
CPT,Camden Property Trust,Real Estate,11253369446
CRH,CRH plc,Materials,67255226127
CRL,Charles River Laboratories,Health Care,12769670871
CRM,Salesforce,Information Technology,157854060000
CRWD,CrowdStrike,Information Technology,218335154818
CSCO,Cisco,Information Technology,478608411371
CSGP,CoStar Group,Real Estate,12253175061
CSX,CSX Corporation,Industrials,93123914078
CTAS,Cintas,Industrials,81254429361
CTSH,Cognizant,Information Technology,25977117533
CTVA,Corteva,Materials,51260668680
CVNA,Carvana,Consumer Discretionary,77967858105
CVS,CVS Health,Health Care,122397464313
CVX,Chevron Corporation,Energy,371552472882
D,Dominion Energy,Utilities,59271253703
DAL,Delta Air Lines,Industrials,60067287560
DASH,DoorDash,Consumer Discretionary,93704518134
DD,DuPont,Industrials,19239572648
DDOG,Datadog,Information Technology,83269767013
DE,Deere & Company,Industrials,167585251563
DECK,Deckers Brands,Consumer Discretionary,13294930563
DELL,Dell Technologies,Information Technology,294091963076
DG,Dollar General,Consumer Staples,27924063644
DGX,Quest Diagnostics,Health Care,26307490356
DHI,D. R. Horton,Consumer Discretionary,42257267418
DHR,Danaher Corporation,Health Care,143943424417
DIS,Walt Disney Company (The),Communication Services,181146722889
DLR,Digital Realty,Real Estate,71713010909
DLTR,Dollar Tree,Consumer Staples,25155653569
DOC,Healthpeak Properties,Real Estate,14762778637
DOV,Dover Corporation,Industrials,28435035904
DOW,Dow Inc.,Materials,21193476461
DPZ,Domino's,Consumer Discretionary,11610034898
DRI,Darden Restaurants,Consumer Discretionary,24385306653
DTE,DTE Energy,Utilities,29105278211
DUK,Duke Energy,Utilities,97345818796
DVA,DaVita,Health Care,11724526000
DVN,Devon Energy,Energy,47278000000
DXCM,Dexcom,Health Care,31981324834
EBAY,eBay Inc.,Consumer Discretionary,49832352048
ECHO,EchoStar,Communication Services,26155783348
ECL,Ecolab,Materials,80257532445
ED,Consolidated Edison,Utilities,39793837546
EFX,Equifax,Industrials,21448042614
EG,Everest Group,Financials,14376991541
EIX,Edison International,Utilities,26405935239
EL,Estée Lauder Companies (The),Consumer Staples,31964580740
ELV,Elevance Health,Health Care,85489874118
EME,Emcor,Industrials,36033378127
EMR,Emerson Electric,Industrials,88277428000
EOG,EOG Resources,Energy,70675061174
EQIX,Equinix,Real Estate,102877073257
EQR,Equity Residential,Real Estate,25147521512
EQT,EQT Corporation,Energy,32332922040
ERIE,Erie Indemnity,Financials,11666434795
ES,Eversource Energy,Utilities,27244884957
ESS,Essex Property Trust,Real Estate,18515737276
ETN,Eaton Corporation,Industrials,174267312000
ETR,Entergy,Utilities,50013563956
EVRG,Evergy,Utilities,19220176025
EW,Edwards Lifesciences,Health Care,51714608000
